"","textoComentario"
"281","Totalmente justifica todo el tiempo para llegar aca (yo estaba en Barcelona asi que fueron 1 hora y 20 minutos de ida y 1 hora y 20 minutos de vuelta) Totalmente justifica comprar el pase express si vienes en temporada alta porque las colas se...Más"
"282","Fuimos 4 adultos y 6 niños (8 a 15 años). Dos días (con noche en el hotel del parque). Lo pasamos increíblemente divertido pero ... pienso que el parque debe hacer por mejorar en cuestión de servicios: hace un calor para morirse porque no tiene...Más"
"283","Optamos por pasar la tarde en el Caribe Park por la tarde de calor.
Nos montamos en casi todas las atracciones con algunas un poco de cola pero tampoco exagerado así que estuvimos mi niño y yo estupendamente.
La próxima vez veremos el parque de...Más"
"284","Fuimos toda la familia, los 29, desde los abuelos de 70 años hasta los nietos entre 16 y 3 años, y todos disfrutamos muchísimo.
El montaje y las atracciones increíbles.
El Único pero que le pongo es que las colas son excesivamente largas, deberían de...Más"
"285","En la Oficina de la entrada de el parque hay mucha cola. Decepcionante. Falta de personal. Saturación...Más"
"286","Lamentamos mucho que su experiencia en PortAventura no haya sido la esperada.  Por la seguridad de nuestros visitantes debemos aplicar  criterios estrictos respecto a estatura y por ello contamos con zonas especificas para el ocio de los más pequeños. No obstante trasladaremos sus comentarios a...Más"
"287","Me parece un abuso que el litro de agua embotellada en el parque Port Aventura valga lo mismo que un litro de Aceite de Oliva.1Litro vale 3'60 €, mas cuando se trata de un producto de primera necesidad.Sabiendo se en el parque sale el agua...Más"
"288","No defrauda. Año tras año se supera, espectacular en todo. Sin duda el mejor parque de atracciones de España. Solo una sugerencia para los visitantes, si vais a estar más de un día sacaos el express pass porque seguro q lo rentabilizáis."
"289","Bien si te gusta este tipo de atracción. Las colas para montar bastante elevadas, sobre todo en las atracciones principales (a veces cerca de 1 hora). Además, los carteles de tiempo suelen indicar menos de lo que es luego la realidad.
Las atracciones se cerraban...Más"
"290","Gran opción para ir con los aventados...
Buenas montañas rusas y excelentes atracciones.
Cierran en horario de comida.... para el turismo eso es pésimo... tienen que dejar abiertos lugares para comer bien todo el día hasta su cierre."
"291","Repetiremos más amenudo no pensemos que fuera estar tan bien pero en verdad nos encantó muchísimo OS aconsejo que acudais y más si tenéis niños"
"292","hemos ido ya varias veces, es un parque muy  completo, tiene múltiples atracciones para adultos y niños, si el niño mide mas de 1,40 ya puede subir a todo, si no, vas limitado a la estatura que ponga cada atracción y subir con un adulto....Más"
"293","El parque abre a las 10 de la mañana pero muchas atracciones estan cerradas y comienzan a funcionar a las 11:00 y algunas a las 11:30. El parque nos pareció muy bueno, los espectáculos fantásticos y el personal muy amable. Las atracciones muy divertidas y...Más"
"294","Somos una familia de 4 personas que hemos podido disfrutar de Port Aventura unos días durante este mes de julio.
La opinión general es bastante buena, el parque es muy grande, muchísimas atracciones, entorno muy bonito y buena recreación de los espacios.
Nos alojamos en...Más"
"295","Un parque muy recomendable. Entorno cuidado. Grandes atracciones y espectáculos. Recomiendo la cantina para comer mas variedad que otros sitios y aire acondicionado ademas de espectaculo . Se divide el parque en varias zonas mediterranea, china , polinesia , mexico y far west. Los empleados...Más"
"296","Visite portAvenyura a finales de junio, no había demasiado gente, pero las colas eran largas, debido a la falta de personal trabajando.
El parque me decepcionó , es demasiado caro para lo que ofrecen."
"297","Estaba mirando los días que iba a reservar las entradas pero antes quería opiniones sobre como se trata a personas con discapacidad y después de leer unos cuantos comentarios haré las reservas en otro parque,es una pena que solo se fijen en el grado y...Más"
"298","Apreciada Miriam, procuramos dar el mejor servicio posible a todos nuestros visitantes y con el fin de facilitar el acceso a la diversión, contamos con tarifas especiales para personas con discapacidad y entradas adaptadas en las atracciones, e intentamos que cuenten con todas las facilidades...Más"
"299","El parque está muy bien ambientado y no han escatimado medios para garantizar que el público se lo pase muy bien. Las atracciones son muy divertidas, los espectáculos muy entretenidos. Las colas son inevitables y es lo peor del parque... La cantidad de tiempo que...Más"
"300","Fuimos sin tener mucha idea de lo que nos íbamos a encontrar, estaban claras las atracciones, fundamentalmente la famosa montaña rusa que no decepcionó en absoluto, es increíble cómo después de dar tantas vueltas bajas sin estar mareado gracias a las compensaciones. Lo que no...Más"
"301","Estoy escribiendo esto desde el parking de autocaravanas completamente decepcionado por la desorganización y falta de seguridad en las instalaciones,compramos un Pack de 2 días con entradas a portaventura y Caribe aquapark.
Según nos explicaron desde el parking de autocaravanas se accede al interior de...Más"
"302","El parque de atracciones tiene muy buenas montañas rusas y buenos sitios para comer pero si vas un día de junio te encuentras por todas las atracciones colas de 1:30 o 2 horas aunque comas temprano y vayas a la hora de comer a las...Más"
"303","Muy lindo parque, excelente ofertas, amplio ...no te alcanza el dia para recorrer y hacer todas las ofertas  para todas las edades ...solo tenes que animarte a la aventura de los juegos y HACERLO AHORA O NUNCA ...."
"304","Me da la sensación de que si por ellos fuera, te dejarían morir deshidratado y sediento ahí, tirado en el suelo a la puerta de cualquier atracción, si no llevas dinero para pagarte una botella de agua casi tres euros. Yo creo que si alguien...Más"
"305","Genial como siempre que vamos pero tb como siempre muchísima gente en las colas X lo que recomiendo si van pocos días sacar la pulsera del express"
"306","Un parque para tod@s.... Ya estuve hace años y estaba genial, esta vez con niñ@s e igual de bien. En la zona de niñ@s no hay muchas colas por lo que se lo pasan pipa de un lado a otro sin mucha espera...."
"307","Hacia un par de años que no íbamos, justo antes de abrir Ferrariland, como siempre no decepciona.
Nos hemos alojado en el hotel Colorado Creek, todavía huele a nuevo! Fantástico.
El parque, el mejor con diferencia de los que he visitado. Las atracciones no defraudan...Más"
"308","Muy divertido, hay colas en las atracciones más grandes pero en general el parque está bien organizado, limpio y la seguridad es extrema.
Genial las nuevas atracciones y el espectáculo nocturno."
"309","El parque es de lo mejorcito con multitud de atracciones. Ya sean de las fuertes con loopings y altas velocidades, intermedias, para niños y otras más tranquilas, además de las de agua.
Si vas en temporada alta o en fin de semana es imprescindible coger...Más"
"310","...algo dejado en cuanto a limpieza y orden.Llevamos tengo a Port Aventura desde su inauguración cada año,y he de decir que,así como el parque sigue estando bien y añadiendo nuevas y mejores atracciones,en cuanto a estado general deja que desear,nosotros que lo hemos ido viendo...Más"
"311","Es un parque temático muy bien montado y decorado, tanto portaventura como Ferrari. Me recordó mucho a Disneyland Paris, aunque algo más pequeño. Merece la pena coger un día los pases rápidos. La comida es asequible con precios razonables dentro del parque."
"312","Este parque es muy grande por lo que verlo en un día es complicado, porque hay muchos espectáculos y muchas atracciones, sin contar toda la decoración que te encuentras. 
Si solo dispones de un día y no te quieres perder nada recomiendo el pase rápido...Más"
"313","Todo excelente aunque un poco cara la entrada si no tienes alguna promoción de descuento, largas colas para las atracciones (algunas de pago extra), por la lentitud de los controladores de las atracciones, todo muy limpio y buena calidad en los productos de alimentación y...Más"
"314","Es un gran parque temático dividido en 6 zonas, todas muy bonitas decoradas y con grandes atracciones en ellas. A partir del 1,40m se puede montar en todo.
Espectáculos de calidad y para todos los gustos.
Uno de los días que fuimos (dicen que es...Más"
"315","Si fuiste a Disney o Universal Studios en Orlando, te va a parecer pésimo este parque. Las atracciones no están tan mal, lo que es deprimente es el personal, la mala onda que tiene la mayoría , el poco personal qué hay en los juegos....Más"
"316","Estimada Carolina. Lamentamos que su experiencia con nosotros no haya sido del todo satisfactoria. Día a día nos esforzamos por mejorar no sólo nuestras instalaciones, sino también nuestra atención al cliente. Tomamos nota de las circusntancias que nos comenta y las trasladamos a las áreas...Más"
"317","Hemos pasado 2 días en Port Aventura en familia con amigos y la verdad es que es un parque impresionante, cuidado al detalle todo fantástico las atracciones super divertidas para todas las edades, si tuviera que resaltar alguna cosa especialmente resaltaría el equipo de animación...Más"
"318","Fuimos en la noche blanca de los 80-90 y fue muy divertido y la musica nos recordo nuestra juventut."
"319","He estado en muchas ocasiones en PortAventura y es una opción de ocio muy divertida. Probablemente es el mejor parque de atracciones de España o al menos a mi juicio así es. Está dividido en 6 zonas temáticas por países/culturas.

Dispone de diversos atractivos que...Más"
"320","Fuimos con unos amigos y nos lo pasamos genial, pero debo de decir que me parece carísimo. Para entrar ya debes de pagar 12€ por dejar el coche, y bueno, ya lo de dentro es.... Lo único que nos pareció bien de precio fue un...Más"
"321","29 junio 2019 una hola de calor abrasa España. Radios y televisiones advierten de la situación y aconsejan beber mucha agua. 
Los guardias de seguridad impiden entrar cualquier tipo de comida y lo más importante agua. PENOSA la imagen de los padres teniendo que vaciar...Más"
"322","Es un parque que ofrece muy buenas atracciones (como el Shambala o el Furius Baco) y muy buena ambientación, pero tiene alguna pega importante. Para empezar, el personal: entiendo que es un trabajo duro (aguantar mucha gente, las horas, el calor, etc), pero deberían cuidar...Más"
"323","Los pasados 23-24 de junio, estuvimos 8 miembros de mi familia en el Parque, hospedándonos en dos habitaciones la noche del 23 en el hotel PortAventura (al final comentaré la incidencia que nos ocurrió).
Al tener mi esposa una discapacidad reconocida oficialmente, nos dirigimos  en...Más"
"324","El mantenimiento de tantos metros cuadrados con tantas y tantas cosas, precisan de entradas elevadas en precio, aún así, cada día es más exagerado (O cada año).
Todo muy cuidado. Muchas atracciones, distracciones de todo tipo.
Para pasar un buen fin de semana."
"325","Mas allá de las atracciones, ya conocidas, se está quedando atrás en cuanto a la gestión de la afluencia y sobretodo en atención al cliente. En este aspecto, Disneyland Paris o el Siam Park son infinitamente mejor opción que esta.
No se si será habitual...Más"
"326","Como siempre muy bien lo único mal las colas extremas y las entradas que cada día son más cara al igual que pase expresss"
"327","Para empezar el parque cobra a los niños a partir de 10 años la entrada como adulto. La mayor parte de establecimientos lo hace a partir de los 12. Luego , si no compras un fast pass puede que pases arriba de dos horas en...Más"
"328","Para mi, el mejor parque temático de los que he ido. El mejor ambientado y con las mejores atracciones. Lo peor son las colas para subir a las atracciones, pero eso es común en todos los buenos parques.
Nosotros fuimos tres días enteros (de 10:00...Más"
"329","Planificamos, al igual que el pasado año, con toda ilusión, una visita al parque Port Aventura. Somos 4 de familia, dos niños, el pequeño de 10 años tiene autismo. En 2018, tras llamar al parque nos decidimos a ir a visitarlo ya que, por lo...Más"
"330","El parque como siempre está bien conservado, pero tengo que decir que deberían controlar el aforo, ya que, a pedar de ser muy grande y haber muchas opciones de entretenimiento, la mayor motivación para ir es, a mi parecer, subir en  las atracciones.

El primer...Más"
"331","Que después de pagar tu entrada, ( a un precio que el parque estipula), veas como o te gasta otros 30 o 40 euros por persona o esperas colas de 1 hora; no me parece razonable. Ellos sabrán."
"332","Portaventura se ha convertido en un engañabobos de los que un dia teníamos a este parque en lo mas alto de nuestra opinión.
lo normal seria que los pases express estén limitados, pero no es asi, por mucho que digan lo contrario, con los hoteles...Más"
"333","Estuve el domingo con mi familia, y pese a mi discapacidad 45% (no puedo estar de pie por mi artrítis), no me dieron pase express, cuando lo han dado siempre, ahora solo se lo dan a personas con un 65%. Con lo cual no pude...Más"
"334","Ha sido un descubrimiento de lo más agradables y divertido.
Hemos podido disfrutar unos días de diversión  comodidad que no nos imaginábamos cuando seleccionamos el destino"
"335","A este parque no es la primera vez que íbamos y como siempre las atracciones espectaculares, aunque tienes que armarte de paciencia por las grandes colas. En mi opinión vale la pena sacar el pase express, ya sabes que en estos lugares te sacan pasta...Más"
"336","El parque fantástico, aunque colas exageradas incluso con el pase Espress.. deberían de regularlo porque ya es bastante lo que se paga.. 
Nos alojamos en el hotel Colorado Creek y el hotel fantástico, nuevo y bonito, solo tiene 22 días, pero mucha calor tanto en...Más"
"337","Fuimos en la semana que culminan las clases, entonces teníamos muchos niños celebrando el fin de curso. Las atracciones fuertes estaban a tope con todos los chavales pero como yo iba con mis mellizos de 4 años fue la mejor fecha para ir porque de...Más"
"338","No es de recibo que después de pagar los 50€ de entrada haya que hacer una cola de 1.30h-2.30h en todas las atracciones ""fuertes"" . Debería haber algún tipo de regulación para el aforo.

Si quieres poder montarte en todas las atracciones vas a tener...Más"
"339","Segunda vez que hago el viaje con mi pareja y como siempre es más que increíble.
Da gusto ver un parque tan cuidado y con tan buena temática. Nos alojamos en Colorado y salimos encantados.
Quizás, por poner algo negativo, los precios de la comida...Más"
"340","fuimos al hotel colorado y no había nadie desde la entrada  hasta el hotel que nos alcanzara .La única opción era un taxi de pago que te sale entre 10 y 15 euros. Eramos tres parejas y no salio módico pero a la vuelta no...Más"
"341","Me encantaron las atracciones, yo fui con amigos por mi cumpleaños, una gran experiencia. Muchas atracciones y varios sitios para comer de gran calidad."
"342","Cada temporada suelen tener una atracción nueva. Para mi el mejor de todos los parque que he estado. Ha bajado algo el nivel de calidad desde que empezó. En julio y agosto te puedes morir en las colas. La pulsera fast es casi imprescindible."
"343","Está bien, pasas un par de días y en fechas como estás(mitad de junio) todavía puedes subir a todo sin morir en las colas, lo único el sol, hay que ir con mucho cuidado, y la comida carísima para lo que es, merece la pena...Más"
"344","Un lunes con el parque abarrotado de excursiones de escuela con todos los restaurantes cerrados. Las colas para comer imposibles. Al estar alojados en un hotel, pudimos comer. Si no, vete a saber a qué hora nos atienden en los chiringuitos de hot dogs. El...Más"
"345","Imprescindible pase express.
Nosotros cogimos el express Max, con acceso express 1 vez a cada una de las 9 atracciones que marca el pase (+1 repetida en tu atracción favorita).

Con este pase hicimos colas en el sambala de 1 min o de 15 min...Más"
"346","Todo esta muy mal organizado , hay colas de 2-3 horas en muchas atracciones y los restaurantes cierran a las 16:30, si entras en una cola a Dragon Khan , cuando terminas no puedes comer en ningun sitio porque esta todo cerrado."
"347","Como parque en los ultimos años hemos visto como han ido evolucionando a mejor, cierto es que me sigue pareciendo deleznable que sigan usando el gancho del express, en lugar de ofrecer como hacen otros parques alternativas gratuitas para ofrecer un mejor servicio al cliente...Más"
"348","No creais para nada de nada de nada en los tiempos que indican el tiempo de espera para subir en las atracciones, escribo esto desde la cola de furious baco, donde habia 10 minutos, y llevo aqui 1:30h, entonces...El tiempo que ponga teneis que multiplicarlo...Más"
"349","Port aventura es a mi entender un buen o muy buen parque de atracciones q va evolucionando a mejor ( fui antes de la inauguración hacia el 93 o así y hemos ido casi cada año, felicito a al equipo de expansión).Colas? si hombre para...Más"
"350","Muy buena experiencia para repetir seguro. Estábamos muy cerca de nuestro hotel en Salou y andado o en 10 minutos en coche estábamos. 
Compramos 2 entradas de 2 dias/2 parques. Y no es un día 2 parques y al otro solo Port Aventura."
"351","Estamos en este preciso momento en el parque, llegamos hoy y nos quedaremos hasta mañana. Pagamos más de €150 por esta estadía y realmente la organización del parque es una vergüenza. Ya desde la entrada que había habilitadas 4 puertas para miles de personas todas...Más"
"352","Si pudiera no ponerle puntaje lo haría. FALTA PERSONAL total, Nose quienes serán las autoridades de este parque, pero con el dinero que ganan contraten más personal por favor. Es un desastre este parque, desde la entrada hasta todas las filas de los juegos. Cansado...Más"
"353","Nos gusta mucho el parque a los 4, si podemos, vamos 1 vez al año un finde a un hotel de dentro, pero creo que esperar más de media hora con la expres y mucho más sin ella, es una barbaridad para lo caro que...Más"
"354","Lo hemos pasado en grande, eso si, nos ha salido por un pico, pagamos por la pulsera para podernos subir en todos sin colas y la verdad que la hemos disfrutado mucho porque nos hemos subido en todo y hemos repetido."
"355","Estuvimos alojados en el hotel portaventura. El hotel en si, esta bien, recien reformado, la comida, lamentable y para beber agua, si quieres otra cosa paga la, lo único decente el desayuno y no para tirar cohetes, pero por lo menos hay más variedad eso...Más"
"356","Muy buen parque, con atracciones variadas para todos los gustos. 

No pongo un excelente por varias cosas: 12€ por dejar el coche en el parking me parece excesivo. Además al ir en temporada baja había varios restaurantes o chiringuitos de comida cerrados por lo que...Más"
"357","Hemos estado dos días en el parque. El primer día se estropearon 3 atracciones, tardando bastante rato en arreglarlas. De hecho, en una de ellas nos mandaron abandonar la cola a todos los que estábamos. 
Por otro lado,muchos de los restaurantes y bares estaban cerrados,...Más"
"358","la paella muy buena.de 10.trato muy amable tardaron unos 20 o 30 minutos en servir ademas esperemos 15 minutos fuera estaba lleno pero merecio la pena y caliente la comida y mejor porque era invierno."
"359","Bueno e venido varias veces ya al portaventura y siempre me lo e pasado genial en esta ocasión fui con mi pareja y no cambia mi opinión a mi gusto el mejor parque de atracciones. De España lo único a cambiar el juego de zombis...Más"
"360","Buen parque pero a mi entender muy por debajo de las pretensiones y la publicidad de dicho parque, la nueva zona de Ferrari ami me a sabido a poco, no es mucho más que otra montaña de las mismas condiciones de otros parques internacionales."
"361","Teniendo en cuenta el precio de las entradas me parece ridiculo que te cobren 12 euros por dejar el coche en el aparcamiento.Dentro todo es un negocio ( pagas por dejar la mochila en las taquillas,pagas por secarte si te pones chorreando en las atracciones)...Más"
"362","El parque es precioso, solo para pasear y ver los espectáculos ya vale la pena, el problema es para subir a las atracciones, normalmente hay mucha gente y te has de armar de paciencia."
"363","No es la primera vez que voy,creo que es la tercera,y cada día me gusta más,todo muy bien,los trabajadores si les preguntas algo.siempre dispuestos a ayudarte,un complejo muy grande y limpio en lo que abunda las papeleras,pero lo que está un poco escaso,son los baños,todos...Más"
"364","Nos ha encantado, sin peros, todo fabuloso, parque, hotel, ferrari land. Ibamos con un nene con discapacidad, y la atencion ha sido fabulosa, ayudandonos y facilitandonos todo para que su experiencia fuera unica. Para repetir"
"365","Parque que no defrauda excepto por sus largas colas. 
Bonita experiencia en familia con niñas de 5 años. 
Volveremos..."
"366","Sin duda la palabra que podemos utilizar para resumir la visita al parque es MUY BUENO..  tiene de todo área para niños y para adultos con atracciones muy buenas... Aunque si tienen ovejas negras cómo lo son DINO (falta actualizarse) y el tema de Ferrari...Más"
"367","Estoy pasando el día con amigos que son de fuera de Cataluña y al llegar a la atracción Huracán Cóndor vemos que hay una cola de casi una hora. Aún así, aceptamos la espera.
Al llegar al momento de subir a la atracción y siendo...Más"
"368","Todo muy lindo, pero se les va la cabeza con lo que cobran , no se como no te cobran para respirar dentro del parque, igual ya lo estarán pensando"
"369","No se puede discriminar a un niño haciendo colas por que su padre no tenga dinero, si pagas un suplemento tu hijo se puede volar y no hacer largas esperas para una atracción."
"370","Es de lejos el mejor parque de atracciones que hay en europa sin dudas. Todas las activdades estan bien y muy variadas. 
Dragn khan y shambala son wooooww. Los niños de mas de 1,40 pueden ir a todas las atracciones .

He disfrutado como un...Más"
"371","Fuimos hacer casi ya seis años y la experiencia fue magnífica, tanto que llevamos años esperando volver con los niños más grandes y disfrutarlo, por fin, al 100%... 
Estuvimos en el mismo hotel al que volvemos y con muchísimas ganas de volver.
todo muy limpio...Más"
"372","Hay atracciones de todo tipo, tanto para peques como para mayores, buena limpieza y ambientación! Nosotros compramos el pase express y nos dio el tiempo justo para hacer todas las atracciones importantes y repetir shambala y dragon kan! Merece la pena pagar el pase porque...Más"
"373","Quiero empezar por destacar la amabilidad y atención de toooooodo el personal que trabaja en el parque.
Si teneis intención de subir en las atracciones lo mejor es comprar el pase xpress. Es caro pero creo que vale la pena. Las colas son importantes sin...Más"
"374","Para mí el mejor parque de atracciones. Buenas montañas rusas, comida aceptable y buenas instalaciones."
"375","Una pasada, lo unico malo es que hay restaurantes que en pleno verano no habren y he estado en mas fechas del año y nada, lo digo por el restaurante de la zona de china, junto a Shambala y dragon"
"376","Me encanta ir. La diversion esta asegurada y falta tiempo lo que no me gusto es que pasas media hora para subir al tren y cuando llegas a la siguiente estación nos hicieron bajar para hacer otra cola y bajarte en la siguiente. Yo he...Más"
"377","Una escapada fabulosa, hemos disfrutado como niños han subido a todo y la de Ferrari Land les ha flipado!!!! Todo perfecto, para volver."
"378","y como haga algo de viento (lo propio de la zona) cierran las atracciones sin compensar. Merece la pena buscar descuentos para la entrada"
"379","Un gran parque donde todo está muy cuidado, la entrada es cara, pero todo el conjunto debe costar mucho mantenerlo y trabaja mucha gente. Hay tanta atracciones que en un día te se queda corto. 
El tema de los restaurante y bares del interior es...Más"
"380","Como cabe de esperar, es un parque de atracciones donde subir a las atracciones y disfrutar de ellas es lo que cuenta. Con sus lugares para desayunar, comer, merendar o cenar y donde un día se hace corto. Es de esos lugares que hay uno...Más"
"381","Si te gustan los parques de atracciones es casi obligatorio visitarlo!! 
He estado a primeros de mayo, y aunque el horario no es tan amplio como en verano, hay mucha menos gente.
Hay descuentos muy interesantes para las entradas...si por ejemplo tienes seguro con mutua...Más"
"382","El mejor parque de atracciones que he visitado. Es caro pero vale la pena pagarlo. He repetido y volveré a repetir."
"383","Es el segundo año que voy (no consecutivo) y cada año el parque mejora, mejores atracciones, mejores servicios.... la verdad volveré a repetir una y otra vez..."
"384","Siempre había querido ir. Me encantan los parques de atracciones y tenía que probarlo. Fuimos 4 amigos desde Asturias y no pudo ser mejor. Nos alojamos en el gold river. Una pasada de hotel. El buffet genial. Las habitaciones. Los empleados... Todo de 10! Compramos...Más"
"385","Lo pasamos genial,fuimos en el puente de los santos y estaba todo decorado,los animadores encantadores,lo recomiendo,sobre todo la noche de Halloween"
"386","De nuevo, me gustaría hacerle saber a los lectores la pésima gestión que realiza el parque. Sin importarles nada más que el dinero que recaudan, no se preocupan del aforamiento ni tampoco de que los que pagan casi el doble del coste de la entrada...Más"
"387","Tenemos la suerte de tener un parque así a una distancia no muy lejana ( 3 horas en coche).
En general el parque está muy bien aunque hay zonas mejorables... mi atracción favorita es el tutuki splash y en general las de agua.
Recomiendo informarse...Más"
"388","El parque no tiene nada que envidiar en instalaciones a Disney o cualquier otro de ese nivel. Atracciones muy chulas para todas las edades. Muy bien ambientado y también los hoteles.
Lo malo: hora de cierre en días como Semana Santa, los más tardíos las...Más"
"389","Cogimos Martes 6 y miércoles 7..... La idea era hoy ir viendo espectáculos, ver cosas más tranquilos y mañana coger la express. Hoy hemos podido montar en todo sin hacer colas, lo máximo 15 minutos. Como estaba nublado y algunas gotas, las de agua era...Más"
"390","La unica pega, que no pueden entrar sin esperar colas las personas minusvalidas y sin movilidad reducida. Mi marido tiene una enfermedad degenerativa con un 33% de minusvalia y tuvo que esperar como los demas las colas de 1.30h ha venido echo polvo de la...Más"
"391","Tengo el pase desde hace años para el parque me ha gustado mucho el nuevo espectáculo de Bang Bang west. 
Felicitar a los actores, ha mejorado muchísimo este espectáculo, es de acción, de humor y divertido. Un actor que lleva la chaqueta con las siglas...Más"
"392","El parque está mas o menos pero lo mejor el Paco y sus pájaros 
La comida mala y por lo general muy lento"
"393","Parque de atracciones para todas las edades. Hay cinco ambientaciones totalmente diferentes, muy bien cuidadas. Hay una zona exclusiva infantil ( sésamo aventura) pero en cada una de las ambientaciones hay pequeños espacios para los más pequeños. Las atracciones del parque son de todo tipo,...Más"
"394","El parque es muy grande y tiene varias atracciones para los amantes de la adrenalina sin embargo me pareció un poco difícil de acceder a todas ellas, por ejemplo para ir de Shambala a Drangon Khan nos perdimos y estaban cerca, no tiene mucha señalización...Más"
"395","LLegamos a la apertura del Parque y de la temporada el dia 6 de abril. Una familia de 6 persona, estuvimos pateando las instalaciones hasta las 8 de la tarde. Los mas jovenes asistiendo en todas las atracciones posibles los de edad mas avanzada viendo...Más"
"396","Este parque temático se adapta a todas las edades. Esta muy bien ambientado con una zona de China otra de Méjico y la zona infantil. Recomiendo como atracciones intermedias los troncos, el tren de la mina y el tomahak. La única pega es que al...Más"
"397","El parque esta genial,mucha ambientacion,muchas atracciones para todos..... lo malo que se satura de gente y hay grandes esperas. Por lo demas muy bien!!!  100% recomendable para todos.

Unico punto negativo los 12 euracos por aparcar en una explanada sin vigilancia y con los coches...Más"
"398","Nos alojamos en el hotel El Paso del complejo Portaventura en la misma entrada del parque. Buena cocina y abundante, quizá lo peor la habitación, es magnífica, pero hay una puerta común con el fin de dar más amplitud para grupos. En nuestro caso parecía...Más"
"399","Lo pasamos genial. No había muchas colas. Como mucho 30-35 minutos. Lo único malo, la comida, que, como en todos los parques es carísima y malísima sin excepciones. Recomiendo traer comida de fuera. Aunque te la vean en la entrada, dejan pasarla. Llevad también botellas...Más"
"400","Después de pasar 2 maravillosos días en en los parques con las peques, donde disfrutaron de lo lindo en las atracciones donde conseguíamos llegar después de colas o terminables, después de cumplir con todas las normas de seguridad, llegamos a la atracción de los crazy...Más"
"401","Hemos acudido más de 5 veces con niños de diversas edades.
Es uno de los mejores parques de Europa en cuanto a atracciones para soltar adrenalina.
Muy limpio y ordenado y casi 4 veces más grande que EuroDysney de París.
Precios acordes a éste tipo...Más"
"402","Impresionante, la nueva zona de Sesamo para los niños impresionante. Ya lo conociamos, pero nunca te deja de sorprender. Me encanta, una pena tenerlo tan lejos."
"403","Increíble la experiencia .
Es la tercera vez q voy y la 1ª con mi familia .
Los niños se lo pasaron de 10 y los papás creo q mejor q ellos . 
Es aconsejable ??????? SIIIIII .
No dudo ni un seg en responder...Más"
"404","Parque caro y agobiante debido a las colas interminables.
Definitivamente no volveremos.
Hay que preparar un mínimo de 100 euros por persona entre entrada, aparcamiento y extras."
"405","Fuimos dos días .un día a Port aventura y otra Ferrari Landa. 
Los dos parques están genial .
Lo que no me gusta es como tratan el tema de la discapacidad . Es el único parque que pone tantos problemas para darte la pulsera ."
"406","Todo el mundo sabe lo que es ir a PortAventura. Colas y colas y colas de espera, por lo que en este aspecto, nada que criticar, es lo que hay. Unicamente, mencionar, que despúes de estar 1.20h esperando en una atracción de buenas a primeras...Más"
"407","Lo primero decir, que para poder disfrutar de todo el parque de atracciones, incluyendo Ferrari Land y el Caribe Aquatic Park, se necesitan de varios días de estancia en el parque.
Dicho esto, en nuestro caso, que fuimos 1 día, pudimos disfrutar de gran parte...Más"
"408","Tras estar en la cola del STAMPIDA durante 1 h y 15 min., con mi nieto de 8 años, al acercarnos a la atracción observamos que EN CADA VIAJE SE RESERVABA  LA MITAD de los asientos a los que poseían el pase Express. Además, ellos...Más"
"409","La verdad que cada vez está mejor este parque, para mi el mejor de España sin duda, lo único la afluencia de gente que tiene, y quizá precios excesivos, te cobran X todo pese a que el precio ya es elevado y deberían de controlar...Más"
"410","Si ahora ya estaba así, ir en verano tiene que ser horrible. Demasiado tiempo de espera en atracciones para niños."
"411","El parque es una pasada, pero creo que tienen un serio problema con la gestión de las colas. No puede ser que en temporada baja haya atracciones con hasta 2 horas de cola. Simplemente poniendo más personal para operar las atracciones se reduciría la espera...Más"
"412","Hemos ido a pasar unos días a PortAventura, aún estando nublado, aún siendo entre semana (segunda semana de Pascua) no era la típica semana de vacaciones de Pascua, es decir no era la del jueves santo si no la siguiente. Hemos ido mi mujer y...Más"
"413","Si lo miras como parque temático juvenil es el mejor parque temático de Europa, a nivel familiar mucho mejor Disneylad Paris, pero si lo que buscas son emociones fuertes, Port Aventura es el mejor"
"414","Se puede comer al menú o de tapas, pero siempre buenas y bien preparadas, amabilidad y servicio excelente"
"415","Hemos ido 4 días al parque de portaventura en abril, con más afluencia de lo habitual en estas fechas.
He utilizado la aplicación para ver los tiempos y no estaban correctamente actualizados, esperé en Furious Baco mad de 1 hora, cuando indicaba 30 min
La...Más"
"416","Muy divertido para grandes y pequeños,con paneles que indican el tiempo de espera en cada atraccion que son de gran ayuda y buenos espectaculos...en nuestra experiencia a pesar de ser semana santa no habia grandes colas.
Como todos los parques tematicos muy caro para bebida...Más"
"417","He estado este Domingo en el parque y deciros a aunque me lo pase muy bien junto a mi hijo de 16 años no volveré. El parque muy bien cuidado pero nada más entrar te cobran 12 € de parking. Un menú de perrito cuesta...Más"
"418","Si duda es mejor parque temático que tenemos en España, lo tiene todo para que disfruten tanto niños como mayores. Es lógico que haya colas y no queda otra que esperar, también me parece bien que no dejen entrar comida pero podían poner precios más...Más"
"419","Llevamos siete años viniendo. No defrauda. Todo tipo de atracciones así como de espectáculos. Lo peor la.comodad de sus restaurantes dentro del parque. Cara y muy mala."
"420","Era la primera vez que acudía e iba con un poco de miedo por las fechas que eran. Me imaginaba que al ser Semana Santa estaría a tope, pero fue mejor de lo esperado gracias al Fast pass. No dudamos en cogerlo ya que servía...Más"
