"","textoComentario"
"261","Preciosa, pero cuando acabarán ?,volveremos al año que viene.....pero muy buen,merece la pena visitarla porque es una maravilla."
"262","Una autentica maravilla y única en su genero se puede decir que podemos estar viendo una obra maestra de su creador antonio gaudí."
"263","La obra es majestuosa, pero los remates son infantiles y lejos del deseo de Gaudi. Es decir, vale la pena si te dejas llevar por la luz a través de sus vidrieras, pero no analices su estética."
"264","Un visita emotiva y muyyyy interesante, despues de varios intentos porfin logramos visutarla y sin duda inilvidable."
"265","Estuve en barcelona por gestiones personales y aproveché de conocer la basílica, sin desperdicio, hermosa obra de arte, solo trata de no ir en temporada alta porque hay demasiada gente"
"266","Una visita imprescindible si estás en Barcelona o alrededores. No es descriptible la belleza de la basílica, en estética y significado. No me permito valorar la obra, únicamente la experiencia, que es mágica."
"267","Extraordinaria obra de arte. Vale la pena disfrutarla con luz natural atravesando sus vidrieras, es magnífico, excepcional."
"268","La sagrada familia es un lugar único, mágico, imperdible, parece que lleve toda la vida ahí, como las catedrales góticas o romanas, pero no, en apenas 100 años ya es historia de la Humanidad en mayúsculas"
"269","Fuimos con nuestros hijos de 20 y 12 años. Sacamos la visita guiada en una oficina de turismo. Vale la pena . Lo haces con un audio guía que te va detallando todo. Vale la pena lo que sale y lo que ves . Lo...Más"
"270","Las largas filas y los grupos de tours son bastantes largas pero al entrar estás contemplando una maravilla de espacio, arquitectónico y espiritual. Muy recomendable!! Es preferible no llevar los cochecitos de los niños. Son muy estorbosos."
"271","Este tuvimos por segunda vez la oportunidad de visitar la Sagrada Familia de Gaudí; aunque repetida la experiencia volvió a ser excepcional. El templo se presenta como algo totalmente distinto de las grandes catedrales europeas que,aún con diferencias son similaresLa obra de Gaudí es algo...Más"
"272","Una visita imprescindible para todo el que visite alguna vez la ciudad de Barcelona...Un orgullo el tenerla entre nosotros...Una obra única e irrepetible.."
"273","Ha sido hasta este momento la opinión más difícil de escribir. No alcanzan las palabras para describir esta obra maravillosa.
Inclusive si no se es creyente o se profesa otra religión, este recinto magno transmite no solo por su indescriptible belleza sino también por su...Más"
"274","La catedral es preciosa en si misma, sin embargo la subida a las torres según mi punto de vista es innecesaria ya que no ofrecen más que vistas de la ciudad que puedes encontrar en otros lugares más económicos, pero la fachada exterior y la...Más"
"275","Está casi terminada. El plazo estimado para que esté acabada del todo es 2026, coincidiendo con el centenario de la muerte de Gaudí. Es una obra de arte se mira por donde se mire. Vale la pena visitarla sí o sí. Mejor comprar la entrada...Más"
"276","Imprescindible si visitas barcelona¡¡¡. Dejando a parte posibles motivaciones religiosas, o de revindicaciones localistas, esta gran basílica, no te dejará indiferente. Seguro¡.. la experiencia de la luz del sol (la de media tarde es sobrecogedora¡¡¡) entrando por los inmensos ventanales te envolverá en una espiritualidad...Más"
"277","Tuvimos una excelente visita guiada en español con Jaume Andreu, quien compartió con el grupo mucho acerca de la basílica, su historia, sin escatimar detalles y atento a todas nuestras consultas. Resultó corta la visita! Podríamos haber seguido un buen rato más, escuchando todo lo...Más"
"278","Es digno de ser conocido este lugar. Sus autores, porque son muchos los que continúan la obra de Gaudi, son   personas que han hecho una obra de arte, espiritualidad,  amor, arquitectura, mágico lugar donde cada cosa tiene su razón de ser."
"279","La basílica esta llena de referencias a la naturaleza, es una magna obra que el genial arquitecto Antoni Gaudí imaginó para explicar al mundo con imágenes la universalidad del ser humano y su conexión con Dios."
"280","Es majestuosa por fuera y sobrecogedora por dentro, por su inmensidad y su grandeza. Si admirando las fachadas se puede estar horas, el interior es impresionante. La luz al pasar por las vidrieras se convierte en magia de colores: desde el rojo vivo hasta el...Más"
"281","Primero es muy interesante lo ordenados que son con el sistema de las entradas, es absolutamente necesario comprarlas antes para ingresar sin problema a la hora indicada y poder verla con calma y sin tanta gente. El exterior es imponente, desde donde la mires verás...Más"
"282","Es la 5ta vez que hago el tour, regreso año con año para ver los avances de la misma.
La iglesia es una obra de arte impresionante!!!
La audioguia es genial porque explica de manera sintética lo que pensaba el arquitecto.
La pasamos genial y...Más"
"283","Extraordinario, demasiada cola y gente. Poco coordinado en la organización de entrada. Por otra parte es indiscutible la magnitud del monumento."
"284","En mi caso llegue de noche y al volver la esquina de la calle Sardenya ahí estaba impresionante toda iluminada y de un tamaño grandioso y que será más grande en estar terminada 
Por dentro es espectacular muy iluminada por vidrieras de colores 
Me ha...Más"
"285","Es una maravilla en todos los sentidos, el guia Jaime Andres un fenomeno, es la obra por la que destaca Barcelona."
"286","Quedé boca abierta. Una belleza. La audioguía me emocionó. Un lugar de encuentro de todas las culturas. Gaudí fuera de serie. Fui sin espectativas y me llevé una sorpresa enorme. Les recomiendo sacar entradas online  con tiempo. Es muy concurrida. Hay controles en la puerta...Más"
"287","Comprando la entrada previamente por internet, el ingreso es rápido luego de pasar el control de rigor. Sin dudas es mas linda por dentro que por fuera, aunque su tamaño hace que se vea desde muchos puntos de la ciudad."
"288","La Sagrada Familia es impresionante y es de obligada visita.

Pero eso no significa que te obliguen a pagar una entrada con un precio a todas luces desorbitado. Además, si quieres realizar la visita sin guía o audioguía solo podrás realizarla a determinadas horas a...Más"
"289","Sin duda el mejor legado de Antonio Gaudí que siguen las obras del proyecto a un ritmo que hace prever que en unos años puede quedar finalizada, el mejor regalo para la ciudad que día tras día recibe miles de turistas."
"290","Que decir de la Sagrada Família, visita obligatoria para todos los visitantes de Barcelona.
Maravilla arquitectónica de Gaudí.
Icono de Barcelona."
"291","Obra principal de Antonio Gaudí, no debes visitar la ciudad condal sin verla. El proyecto de construcción lleva muchos años y están añadiendo más torres a la fachada. Recomiendo la visita guiada."
"292","Obra prima de Gaudi, diga de ser vista da, impresionante obra arquitetônica que define el estilo de su autor!"
"293","Grupo de 14 personas de paises diferentes y se quedaron alucinados!
Falta mucho por hacer, pero lo que hay hasta el momento, no deja de sorprender a cualquier turista. Recomiendo!"
"294","Tanto por fuera como por dentro, lo más imponente que tiene Barcelona. Increíble, un “Must see” de la ciudad. Tanto por dentro como por fuera"
"295","Después des nuestro Brunch en Billy Brunch fuimos a visitar la basílica que quedaba justo al lado, la pasamos muy bien!"
"296","Espectacular, la luz, la magnificiencia...las explicaciones con la audio guia muy correctas. Quedarte extasiado durante toda la visita por los colores la luz, las columnas imponentes."
"297","Es la segunda oportunidad que visito la Sagrada Familia; habiendo recorrido las grandes catedrales europeas, incluida Notre Dame previo al incendio, la obra de Gaudí maravilla por implicar un concepto nuevo, no visto en ninguna otra de las grandes catedrales que, con sus diferencias, sin...Más"
"298","La Sagrada Familia es espectacular y maravillosa, es arte y esta alineada a la ciudad majestuosa de Barcelona."
"299","Obviamente es la gran atracción de Barcelona, y no defrauda para nada. Es una obra monumental de Gaudí, quien trabajó en ella durante los últimos 40 años de su vida.
Por más de ser una iglesia, hasta el más ateo puede disfrutar la visita, porque...Más"
"300","Es increible, nada que hayas podido ver antes se asemeja. Además al estar en construcción, cada vez que vayas va a ser diferente. Es increible"
"301","En la mañana de hoy hemos hecho una muy buena visita guiada. Buen resumen, interesantes explicación por parte de Pau. Una vision miy completa"
"302","Hermosa catedral Fuimos a las 18hs Entraba el sol a tr
de los vitro Majestuosa imagen La arquitecttura y la vista de las torres impresionante Hay que tener en cuenra si vas con niños Es complicada con ellos bajar El lugar es trecho Pero vale...Más"
"303","Pues eso, siendo ateo no creo en religiones, pero he de reconocer, que esta basílica hay que visitarla seas de donde seas y de la religión que seas."
"304","En la basílica de la sagrada familia de Barcelona que es el segundo momento más visitado de Europa necesita mínimo de una semana para conocerla en su totalidad. Tuve ocasión de entrar en la cripta y visitarla por fuera. Te dejan verla de manera gratuita...Más"
"305","Si vas a Barcelona tienes que ver la gran basílica de la sagrada familia, un lugar espectacular y único."
"306","Impresionante!
Me ha gustado tanto que volveremos  en 2026 a verla terminada,Gaudí fue un genio,No te conformes con ver el edificio por fuera,si ya la fachada del crecimiento te parece hermosa(mi hija de tres años al pararse frente a ella se quedo con la boca...Más"
"307","Con la genialidad de este hombre  en. Su época. Es difícil saber cómo. Pudo llegar a plasmar estas obras de artes tan imponentes.
Hoy en día sería un loco"
"308","Esta obra te deja sin aliento, es increible su arquitectura y su historia, sus detalles y su grandeza. Merece la pena cada euro el visitarla por dentro, aprender su historia con la audioguia. Si tienes un poco mas de curiosidad no dejes de subir a...Más"
"309","Fuimos en agosto de 2014 (pero como no usaba esta app) pues estoy haciendo ahora todas mis reseñas, la basílica es algo impresionante, maravillosa, no hay que perdérsela bajo ningún concepto, Gaudí tenía muchísimo gusto para crear obras de arte, y esta es una de...Más"
"310","Al sacar tickets online que imponen un horario de entrada, se ha hecho más ordenada la visita y por lo tanto se contempla la belleza de esa catedral mucho mas que años anteriores"
"311","Un edificio que impresiona nada más verlo. Obra maestra de Dalí, a la espera de su finalización , que esperemos que sea pronto."
"312","Luego de muchos años volví a la Iglesia. Es maravillo ver sus avances y supera toda expectativa. La obra de Gaudí es impresionante pero su reflejo en esta Iglesia no tiene igual."
"313","La Catedral en si es una preciosidad, y el guia, Jaume Andreu, divertido, rigoroso y muy dinamico atendiendo a las preguntas. Fantastico!!!"
"314","Hermoso e impotente son las mejores palabras que describen esta basílica realmente hermosa otra parada obligada para conocer"
"315","Solo la visite por fuera y es muy bonita aunque están obras actualmente, hay bastantes turistas. La avenida gaudi se come muy bien"
"316","Dicen que se acabará antes de finales de 2026. Pero también se dice que en cuanto se acabe no podrán cobrar los 17 € que cobran ahora para entrar a verla porque ya no habrá excusa de que aportas dinero para la construcción de la...Más"
"317","Mucho más bonita en vivo de lo que había imaginado... Mucho detalle, ¡me ha sorprendido gratamente!."
"318","La visita con guía fue impresionante, tanto por dentro como por fuera: las explicaciones ayudan a entender la obra de Gaudí"
"319","Es hermosa, mi obra arquitectónica favorita, la gran belleza se puede admirar desde afuera. Aunque vale la pena comprar los boletos con anticipación y de forma electrónica.
P.D. No compren el boleto de entrada de las 7:15 ya que a las 8:15 empiezan a sacarte...Más"
"320","Un lugar que te dejara sin palabras. Diferente, distinto a todo. Arte en estado puro. El talento de Gaudi es inmenso"
"321","A repetir. Es una obra que hay que visitar con diferentes luces, recorrer sus torres, edificios anexos, capilla debajo, exposición de muebles. y repetir siempre que se pueda"
"322","Muy recomendable la visita y más con la audioguía... La basílica, espectacular. Y el día que esté rematada, será la leche. Si puedes, sube a las torres!!!"
"323","Ver con tus propios ojos el genio de Gaudí...  algo que no puedes dejar de hacer en esta vida.  Visita la Sagrada Familia con tu esposa, tus hijos, ...  Disfrútala!"
"324","Muy organizado tanto para la compra de entradas y la visita guiada. No tardamos más de 20 minutos en acceder a la Basílica. Entramos muy pronto, cuando salimos había mucha gente esperando para entrar. Merece la pena madrugar."
"325","no importa si sos o no catolico, arquitectonicamente es imponente, merece la pena la visita, recomiendo sacar por internet las entradas es mucho mas agil el ingreso"
"326","No recomendaría pagar la entrada para visitarla ya que por dentro no hay mucho para observar, es fría sin mucha ornamentación, lo que sí recomiendo es mirarla por fuera y tratar de entender todas sus figuras ya que la diseñó un genio."
"327","Les recomiendo al menos la audio guía. Un tip pueden alquilar una y les dan unos audífonos lo que hace que compartas con otra persona y hacen el tour. Te ahorras 8 euros."
"328","Alzar la vista y encontrarte con ello es algo que no se puede explicar con palabras. Cada vez que la veo, la impresión es grandísima. Al menos para mí, que la puedo visitar muy de vez en cuando."
"329","Divina!!!!
Obra espectacular,aún no terminada
15 años que la visitó!
Comprar entrada por internet,sino es imposible entrar"
"330","La Basílicia de la Sagrada Familia es una hermosa obra maestra, además de ser una gran experiencia religiosa. Definitivamente hay que visitarla. Nosotros hicimos la visita con la audioguía y, en adición, subimos a la Torre de la Pasión. Totalmente recomendada."
"331","Muy bien explicada por el guía bien detallista la visita duro muy poco quede con ganas demás ojo hay que esperar un poco para entrar"
"332","Es el punto más visitado de Barcelona, por lo que es necesario reservar la entrada (día y hora) con antelación en la página oficial de la basílica. No se pueden ir de Barcelona sin visitar esta maravilla de Gaudi, aún inconclusa. Está prevista que esté...Más"
"333","Es impresionante pero lástima de las obras interminables no permiten ver su esplendor. En cada lugar donde miras hay algo que llama la atención."
"334","Es impresionante la
Construcción y su majestuosidad !!! La están limpiando , pero vale la pena ir a verla igual"
"335","Si estás en Barcelona no podes perder la oportunidad de ingresar a la Sagrada familia. Sacamos la entrada con audioguía y fue muy útil. Merece completamente la pena!!!"
"336","La visita requiere de sacar entradas con anticipación, pues las aglomeraciones son inmensas. Es relevante pensar que una construcción no deja de estar  vinvulada a su constructor: Gaudí."
"337","Desde la estructura hasta la forma de las paredes se nota lo señorial de su aspecto que se refleja en muchas iglesias virreinales de Sudamérica, muy hermosas  ."
"338","Primero es muy interesante lo ordenados que son con el sistema de las entradas, es absolutamente necesario comprarlas antes para ingresar sin problema a la hora indicada y poder verla con calma y sin tanta gente. El exterior es imponente, desde donde la mires verás...Más"
"339","Si no crees en Dios, probablemente visitar esta magnifica obra ayude a tu conversión. Es impresionantemente conmovedor su diseño, el juego de luces naturales que entran por los vitraux y conmueve ver el amor y la pasion que desde Gaudi en adelante  todos ponen el...Más"
"340","Siempre que viajó a barcelona paso a ver esta maravillosa Basílica. Todavía se me ponen los pelos de punta cada vez que la veo. Creo que es una parada obligada si pasas por Barcelona."
"341","Date una vuelta para conocerla, normalmente hay mucha gente visitando, así que te recomiendo ir temprano."
"342","Una auténtica obra de arte e ingeniería, si ya por fuera impresiona, por dentro es indescriptible... Lo único que están tardando mucho en acabarla, y otra pega es la cantidad de gente que quiere entrar a verla, algo totalmente normal.. Cuando vuelva a Barcelona volveré...Más"
"343","Es un monumento impresionante,imprescindible visitar y sobre todo conocer su historia. Impresionan las tres fachadas por sus contenido y el interior por su simple majestuosidad, su bosque de árboles formados por las columnas y las diferentes tonalidades de sus cristaleras. Un consejo,visitarla con audioguia o...Más"
"344","Faltan las palabras para describir la magnificencia del lugar. No importa si eres una persona espiritual o agnóstica: en el primer caso lo vivirás como un viaje intenso por la vida de Jesús y su familia; en el segundo quedaras maravillado con la creatividad de...Más"
"345","Un lugar espectacular, y muy alucinante. Cómo es natura si vas en agosto está apestado de gente, pero incluso así se puede observar y apreciar toda su gloria. 
Recomiendo ir con guía o pagar por el audio guía, tiene. Mucha info que de otra forma...Más"
"346","La Sagrada Familia es lo primero que tienes que visitar cuando visites Barcelona,   una gran iglesia católica romana diseñada por el arquitecto Gaudí. Aun la iglesia está en construcción. 
Gaudí comenzó a construir esta iglesia en 1882 y dedicó sus últimos años únicamente a este...Más"
"347","Me parece que genial esta construcción única en el mundo. La Luz, sus formas y y su original diseño la hacen ser uno de los monumentos más importantes al menos de España"
"348","Maravillosa visita, la basílica te deja sin palabras nada mas llegar, te faltan ojos para mirarlo todo, grandiosa y espectacular, reservamos visita guiada con getyourgide, todo muy bien, el guia Carlos un crack, muy ameno e instructivo, lo recomiendo a todo, un saludo, Eugenio."
"349","Es una de las visitas obligadas que tiene la ciudad de Barcelona, es un obra de arte monumental de arquitectura.
Recomiendo que compren las entradas anticipadas en la página oficial por internet para economizar (sale 5 euros menos online) y evitar las filas."
"350","No es una simple Básilica, se trata de una obra faraonica sin precedentes.
Tiene belleza en toda ella y cada piedra explica una historia. Ha este templo acuden turistas de cualquier religión para contemplar tal maravilla"
"351","Es increíble, algo primordial en barcelona. Sin duda se debe coger con antelación e imposible perdersela."
"352","Quede impresionado con esta basílica , por mucho la más importante de Barcelona , su estilo es único y sigue en construcción , muy moderna pero increíble , quede sorprendido , recomiendo sacar entradas en línea y ahorrarse las filas"
"353","No hay palabras para describir esta obra de arte. Te deja sin palabras. Dentro y fuera del recinto no podes parar de admirarla. Espectacular por donde se la mire. La visita al museo es muy clara, te explica la obra y la idea de Gaudi."
"354","Visita obligada, obra maestra, un nuevo concepto de Catedral. Ya se puede admirar porque está casi construida; observe como se soporta el peso de la parte alta. En el museo pude ver como Gaudí calculaba las estructuras y su forma. Loas arquitectos que terminan la...Más"
"355","Una iglesia con mucha historia, a pesar de que no se ha culminado su construcción es muy interesante su historia y todo lo que han pasado."
"356","Deben hacer su reserva online con mucha anticipación para entrar o a través de agencias de viajes o de turismo local, de otra manera no podrán entrar si no lo planean con anticipación. El costo y la espera valen la pena, busquen entrar con un...Más"
"357","Estar alli dentro fue mas de lo que me imaginaba.Es impresionante tanto por fuera como por dentro.Es una visita obligatoria.No dejes de observar cada detalle por dentro.Les recomiendo comprar la entrada con audio guia en la pagina oficial del La Sagrada Familia,asi ayudas a la...Más"
"358","Para que no lo sepa los miércoles a partir de las 15 horas si eres desempleado y llevas el carnet de paro o certificado que lo demuestre puedes entrar sin cita previa a ver el interior de la Sagrada Familia
Hay que solicitarlo en una...Más"
"359","muy bonita por fuera sobre todo la fachada del nacimiento y la basilica por dentro es  impresionante y original con bastante claridad.  
Obra maestra de Gaudi."
"360","Un buen sitio para ver este colosal catedral , muy bonita por fuera pero cara por dentro , si quieres ir a visitarla tienes que reservar unos días o semanas antes ."
"361","Mi opinión..... pues el precio creo que es excesivo, sobre todo para los catalanes que vivimos aqui, podrian hacer precio especial para las personas de Barcelona. otra pega las grandes colas para entrar, y recomiendo cojer las entradas por internet"
"362","Única en el mundo. 
Obra maestra de Gaudí.
Creen finalizar la majestuosa obra en el 2025.
En los últimos años gracias a las aportaciones de empresas y gente privada, y las entradas para visitar la basílica , han conseguido bastante empuje económico para dar un...Más"
"363","De las iglesias (basílica) más lindas del mundo, sino es la más linda.
Vale la pena visitarla con la audioguía, ya que cuenta información super interesante. 
Gaudí realmente fue un genio y cada detalle esconde un secreto o una intención. 
Desde las columnas del templo...Más"
"364","Una obra como la Sagrada Familia no puede merecer menos de un 5.
Pero a mí personalmente, después de conocerla tantos años ""por fuera"", me desilusionó un poco.
Me pareció caótica por dentro. Sin sentido. Cómo notas sueltas, quizás como un Jazz, que tampoco entiendo....Más"
"365","Cogimos la visita guuiada oficial y merecio la pena.la chica nos conto la historia de construccion de la sagrada familia muy bien por cierto.
Nos encanto por fuer y.nos sorprendio poe dentro.nada que ver...increoble que aun no este terminada¡¡
Una de las cosas ms grandiosas...Más"
"366","Visitar la Sagrada Familia siempre es emocionante por los cambios que encuentras.  yo la había visitado en el 2011 y verla en esta oportunidad me llenó de emoción.  en esta oportunidad habían ya muchos vitrales colocados y la iluminación que producen son muy especiales para...Más"
"367","Es una obra única y especial. Como otros, yo hubiera preferido dejar la obra como Gaudí la ideó. Dejar el templo inacabado. Però apesar de ello, el interior és un espectáculo que hay que ver. Mejor con guia o audioguia. Y, con visita a la...Más"
"368","La iglesia es hermosa por fuera pero solo resulta impactante hasta que te acercas y miras mejor, las partes antiguas y lad nuevas contrastan mucho y hay detalles muy extraños como un árbol de navidad en el centro y frutas (de colores) en otras torres,...Más"
"369","lo que me llamo la atención el tema de las entradas si no tenes no podes entrar, asi que recomiendo sacarlas por entrar de forma individual o con excursión es otra forma hasta diría que te tratan mejor! una leve impresión cuando fuimos. 
por favor...Más"
"370","De Madrid a Barcelona, lo puedes hacer desde varias maneras, yo lo hice por carro de alquiler y esta opción te permite conocer muchos puntos, dentro de los puntos a visitar esta la Basílica la cual sigue en construcción. Para mi es un conjunto de...Más"
"371","Hemos visitado la Sagrada Familia ya con anterioridad y con cada reforma nos sigue sorprendiendo y gustando mas y mas. Un templo que sin duda hay que visitar:)"
"372","En este lugar puedes admirar la arquitectura futurista, asombrosa del Arq Gaudi, una obra de arte que considera hasta el mas mínimo detalle, si quieres que te defina este lugar simplemente te diré ¡¡¡asombroso ¡¡¡¡¡"
"373","La había conocido hace 25 años, y frente a mi recuerdo ""color cemento"" me sorprendió la luz multicolor de esta maravilla de la arquitectura y el arte. Para quedarse boquiabierto a cada paso que se da."
"374","Comprar la entrada por internet en la pagina oficial. Hay descuentos para estudiantes, personas mayores, etc. Hay MUCHA gente, por lo tanto ser puntual. 
La iglesia es espectacular. La audio guia es suficiente aunque un poco confusa. Recomiendo contratar un guia o ir previamente informado....Más"
"375","No pudimos entrar porq había que reservar con mucha antelación pero solo verla desde afuera es una maravilla. Es un MUST si vas a barcelona"
"376","Nada más entrar el juego de luces que desprendían las vidrieras me dejó maravillada. Gaudí es un genio a nivel arquitectónico y en esta gran obra, deja claro que también lo es a nivel escultórico y en el diseño de interiores. 
Es un artista que...Más"
"377","Impresionante por fuera pero principalmente hay que verla por dentro, el único problema es la cantidad de visitantes."
"378","Ya desde fuera impresiona pero el interior es increíble !!
Una vez estás dentro te das cuenta de la magnitud de la obra"
"379","Nadie debería perderse la Sagrada Familia. Es tan impresionante que no se puede describir. Dos pegas: falta terminarla y se va a quedar encajonada, sobre todo la entrada principal"
"380","Es una de las postales típicas de la ciudad, impresiona verla en persona, sus detalles , tanto en el exterior como en el interior, ha avanzado mucho su construcción en los últimos años, en esta época , como todos los lugares turísticos está repleto de...Más"
"381","No se puede estar en Barcelona y no ir. Visita obligada, reservar la entrada antes de ir. Añadir a la entrada extras como visita a las torres, no lo hicimos por falta de información y luego te arrepientes"
"382","No hay otra palabra para describir está maravillosa experiencia! Busca todos los detalles en todos lados!"
"383","No puedes perdete de visitar este emblemático lugar de la ciudad de Barcelona, diseñado por Gaudi y que concluirán su construcción 100 años después de su muerte.Debes comprar  tus tickets con anticipacion.Simplemente impresionante!!!"
"384","Imposible describirlo con más palabras sino esa..colossal..hay que verlo. es sencillamente maravilloso"
"385","La Sagrada Familia es una visita obligada! Es un estructura muy espectacular y muy bonita! Si quieres ir, te recomiendo coger un ticket antes."
"386","Es la segunda ocasión que visitó este lugar y la verdad no deja uno de asombrarse con la visión de ingeniería que tuvo Gaudí, recomiendo ampliamente visitar este lugar. !!!!"
"387","que mas se puede decir sobre ella. ya esta todo dicho. es la  Sagrada Familia , unica e imprescindible"
"388","Es la Basilica mas espectacular en la que he estado .... me regalaron una visita guiada y fue impresionante"
"389","Visita imperdible si vas a Barcelona. Te recomiendo que compres tus entradas con unos dias de anticipación, lo puedes hacer por internet sin ninguna complicación. El audio guia te ayuda mucho para conocer esta joya,"
"390","Es una obra arquitectonica fabulosa. De afuera es imponente, pero al entrar  quede maravillado. Realmente Gaudi fue un genio. Compre los tickets con audioguia y visita a las torres. Las vistas desde alli son buenas. Mis hijos fueron los que mas disfrutaron la bajada por...Más"
"391","Fui por segunda vez a esta imponente Iglesia, llena de símbolos, de representaciones históricas y bíblicas . De una riqueza cultural y arquitectura inconmensurable . Todos quienes la visitamos construimos nuestra opinión , religiosos o no. Pero hay una sentido histórico  que merece ser conocido...Más"
"392","Hacia unos 20 años q había ido y me había gustado pero esta vez me sorprendió. Cogimos las reservas con antelación. La audio guía muy bien. La sensación de entrar y verla terminada por dentro es difícil de explicar y cuando escuchas las explicaciones del...Más"
"393","Visitar la Sagrada Familia es un lugar inflamable en una visita a a Barcelona, muy a parte de religiosidad que uno profese, recomendación hacer una reserva con tiempo pues el flujo de turistas es impresionante, y estar puntual a fin de evitar contratiempos, la compra...Más"
"394","He visitado muchas  veces la Catedral  y cada vez la experiencia es maravillosa.  La única pega por poner una, en verano es caótico."
"395","Creo que si estás en barcelona no podes dejar de ir a visitar la sagrada familia. Es imponente ! Maravillosa! Te recomiendo que saques con anticipación la entrada y con audio guía. El relato es muy descriptivo para entender a Gaudi. Particularmente yo me emocione."
"396","La Basílica es una pasada. Sin lugar a dudas, lo recomiendo al 100%. El guía, un chico llamado Marcell, es un artista de los pies a la cabeza, nos explicó cada detalle de la Basílica. Si podeis elegir guia, que sea con Marcell, el tío...Más"
"397","Muy bien organizados y cumplen con horarios. Para los peques es muy entretenido ya que es un regalo para la vista. No hay rincon en el cual no te quedes encantado. La visita a la torre no es lo mejor però si que es muy...Más"
"398","Pasear entre sus muros ya es impresionante, imagina cuando esté acabada!! Espero consigan hacer honor a Gaudí"
"399","Los arcos de catenaria que sostienen la basílica permite el uso de cristales que inundan de luz y color la basílica dando una sensación de grandeza. Muy recomendable visitarla de 16 a 18h"
"400","es un edificio super bonito y entrertenido para ir a visitar con la familia,yo he ido ya varios años y seguire yendo."
"401","Es una preciosidad, hay que visitarla seguro. Dejan entrar a demasiada gente y moverse por dentro es una odisea. Quizás a primera o última hora la cosa está mejor. El precio es desorbitado, sobre todo si se visitan varios edificios modernistas el mismo día, te...Más"
"402","Recomiendo la visita a la basílica! Una obra única y preciosa!! Si es guiada mucho mejor porque se aprende mucho de detalles que uno no ve a simple vista."
"403","Si eres un apasionado de Gaudí, no te la puedes perder..
Si compras la entrada on line te evitas las colas.Vale la pena coger la visita guiada y con visita a las torres, unas vistas espectaculares de Barcelona"
"404","La maxima expresion del mal gusto.
Ejemplo de que somos capaces los humanos cuando queremos interpretar la idea de un Genio."
"405","Edificio único,es muy espectacular, gran trabajo. Solo falta verla acabada, ya queda menos. Debería ser más accesible. Mucho tráfico cerca."
"406","He venido años anteriores y El Progreso parece lento pero dicen que la van a terminar en pocos años. La parte terminada es hermosa. Recomendable venir temprano xq en épocas de calor es agobiante. Hay muchos bares cerca para comer y descansar."
"407","Con el genio que tenía el sabio Gaudí,  si viera cómo han destrozado su obra, sería capaz de destruirla toda. Ninguno de los arquitectos que ha seguido su obra, ha conseguido plasmar su genialidad y originalidad.  Se aprecia, sin ser un experto,  lo que hizo...Más"
"408","Siendo de Barcelona, nunca había entrado.. Y la verdad es que ahora no puedo más que recomendar a todo el mundo que vaya... Te deja boquiabierto nada más entrar..."
"409","Sorprendente. Maginifica. Una maravilla. Contrastes estructurales. Naturaleza-genialidad-cultura. Gracias Gaudí. Gracias a tod@s l@s que la hacemos posible."
"410","Yo vivo en Barcelona, y la visité un día que era de puertas abiertas, si por fuera es bonita, por dentro es espectacular, sobretodo un día soleado ya que el efecto de la luz en las vidrieras no se puede comparar con nada."
"411","Cada vez que vengo esta peor 
Esto parece el vaticano o venecia
Si visita esta ciudad, por favor, No digas nada a tus colegas. 
Guárdalo como un secreto, hazme caso"
"412","Por más que la hayas visto en foto o por la TV, no sabrás lo que es hasta que te acerques y la contemples en directo, si entras dentro puedes convertirte al cristianismo aunque seas budista! Espectacular el genio de Gaudí!"
"413","Es majestuosa increbile una obra de arte en Mayusculas !!! Visita esencial si eres o viajas a barcelona..."
"414","El templo es una verdadera maravilla, lastima que los controles de entrada, te tratan como delincuentes, los vigilantes les falta un poco de empatia a los miles de turistas que soportan el clor i las colas."
"415","Edificio tan espectacular como me esperaba.Me encantaron los portalones. Desgraciadamente aun sin terminar, pero quizás sea parte de su encanto."
"416","Aunque no te gusten los museos, los monumentos, las visitas culturales; no te pierdas visitar La Sagrada familia, no hay otra cosa igual. No te decepcionará."
"417","Demasiada gente para poder circular por fuera y por dentro de la Basílica. Muchas colas fuera. Parece más un parque de atracciones que una Basílica."
"418","La entrada ya impresiona. es una genialidad de la arquitectura. Es algo que hay que ver obligatoriamente."
"419","Me ha gustado mucho. No pude acceder a las Torres porque estaba embarazada y me recomendaron no hacerlo. Muchas colas perovalio la pena."
"420","Si vienes de visita a Barcelona no puedes perderte la sagrada familia. Es muy concurrida pero merece la pena la espera."
"421","Realmente es un momumento digno de visitar. Su espectacular arquitectura la hacen unica en el mundo."
"422","Increíble la gran construcción en mitad de Barcelona simplemente monstruosa es una obra de arte......."
"423","Si sos religioso te va a encanta... Y si te gusta el arte Vas a amar todo lo que hay.... El lugar te tramite mucha historia y eso te conecta directamente con el movimiento Gaudí.. Si bien sale muyyyyyy cara la entrada vale la pena....Más"
"424","Me costó conseguir los tickets para la visita. Pero, luego de llamar, hicieron la reserva. Enviaron los tickets al correo electrónico. Debían ser validados, por lo que fuimos con tiempo. Con sólo mostrar las capturas en el celular, nos pasaron a otra fila, donde comprobaron...Más"
"425","Fui dos veces a Barcelona y esta es una parada obligatoria. Fuimos durante el día y durante el atardecer. es imperdible la visita a las torres"
"426","Tal como me habian aconsejado es un lugar maravilloso, no solo por los detalles de arquitectura sino por la magia que hay en su interior. Imperdible!"
